units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,sites,samples
NISP,NA,ascospore,33524,NA,Fungi,ascospore,Pleospora undiff.,FUNG,1,42
NISP,NA,ascospore,34608,NA,Fungi,ascospore,"Fungi (type 19, HdV)",FUNG,2,4
NISP,NA,ascospore,34626,NA,Fungi,ascospore,"Fungi (type 47, HdV)",FUNG,1,1
NISP,NA,ascospore,34636,NA,Fungi,ascospore,"cf. Trichoglossum hirsutum (type 77B, HdV)",FUNG,1,98
NISP,NA,ascospore,37395,NA,Fungi,ascospore,"Cercophora sp. (type 112, HdV)",FUNG,1,12
NISP,NA,ascospore,37396,NA,Fungi,ascospore,"Podospora-type (type 368, HdV)",FUNG,1,1
NISP,NA,ascospore,37397,NA,Fungi,ascospore,"Chaetomium sp. (type 7A, HdV)",FUNG,1,7
NISP,NA,ascospore,38489,NA,Fungi,ascospore,Tetraploa scheueri,FUNG,1,2
NISP,NA,ascospore,41786,NA,Fungi,ascospore,"Caryospora sp. (type 1001, HdV)",FUNG,1,1
NISP,NA,ascospore,41792,NA,Fungi,ascospore,"Gelasinospora (type 1A, HdV)",FUNG,1,5
NISP,NA,ascospore,41793,NA,Fungi,ascospore,"Gelasinospora (type 1B, HdV)",FUNG,1,1
NISP,NA,cell,5126,NA,Algae,cell,Staurastrum,ALGA,6,38
NISP,NA,cell,5409,NA,Algae,cell,Arthrodesmus,ALGA,1,4
NISP,NA,cell,5412,NA,Algae,cell,Penium,ALGA,1,2
NISP,NA,cell,5422,NA,Algae,cell,Closterium,ALGA,2,3
NISP,NA,cell,5423,NA,Algae,cell,Closterium undiff.,ALGA,1,2
NISP,NA,cell,21590,NA,Algae,cell,Desmidiales,ALGA,1,1
NISP,NA,cell cluster,30735,NA,Fungi,cell cluster,"Fungi (type 200, HdV)",FUNG,1,21
NISP,NA,cell cluster,34624,NA,Fungi,cell cluster,"Fungi (type 24, HdV)",FUNG,1,52
NISP,NA,cell cluster,35283,NA,Fungi,cell cluster,Asterosporium,FUNG,1,1
NISP,NA,chlamydospore,34404,NA,Fungi,chlamydospore,"Fungi (type 11, HdV)",FUNG,1,3
NISP,NA,claw,14069,NA,Arthropods undiff.,claw,Araneae,ARTH,1,1
NISP,NA,coccon,34569,NA,Flatworms,coccon,"Platyhelminthes (type 353B, HdV)",FLWO,1,60
NISP,NA,coccon,34625,NA,Flatworms,coccon,"Platyhelminthes (type 353A, HdV)",FLWO,1,23
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,9,58
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,22,475
NISP,NA,colony,685,NA,Algae,colony,Pediastrum angulosum,ALGA,5,36
NISP,NA,colony,689,NA,Algae,colony,Pediastrum braunii,ALGA,1,4
NISP,NA,colony,690,NA,Algae,colony,Pediastrum duplex,ALGA,10,165
NISP,NA,colony,1212,NA,Algae,colony,Pediastrum undiff.,ALGA,3,41
NISP,NA,colony,2818,NA,Algae,colony,Botryococcus braunii,ALGA,11,148
NISP,NA,colony,5041,NA,Algae,colony,Botryococcus pila,ALGA,3,18
NISP,NA,colony,5045,NA,Algae,colony,Pediastrum duplex var. rugulosum,ALGA,8,211
NISP,NA,colony,5047,NA,Algae,colony,Pediastrum angulosum var. asperum,ALGA,2,2
NISP,NA,colony,5059,NA,Algae,colony,Pediastrum muticum var. scutum,ALGA,2,4
NISP,NA,colony,5060,NA,Algae,colony,Pediastrum angulosum var. angulosum,ALGA,3,69
NISP,NA,colony,5061,NA,Algae,colony,Pediastrum duplex var. duplex,ALGA,1,1
NISP,NA,colony,5137,NA,Algae,colony,Coelastrum reticulatum,ALGA,1,1
NISP,NA,colony,21584,NA,Algae,colony,Hydrodictyon,ALGA,1,1
NISP,NA,colony,31324,NA,Algae,colony,Botryococcus sp.,ALGA,3,21
NISP,NA,colony,31325,NA,Algae,colony,Botryococcus neglectus,ALGA,3,7
NISP,NA,colony,32495,NA,Algae,colony,Pediastrum orientale,ALGA,1,37
NISP,NA,colony,33383,NA,Algae,colony,Pseudopediastrum boryanum,ALGA,13,208
NISP,NA,colony,33384,NA,Algae,colony,Pseudopediastrum kawraiskyi,ALGA,6,36
NISP,NA,colony,33386,NA,Algae,colony,Parapediastrum biradiatum,ALGA,1,1
NISP,NA,colony,33387,NA,Algae,colony,Pseudopediastrum boryanum var. longicorne,ALGA,9,253
NISP,NA,colony,33391,NA,Algae,colony,Pseudopediastrum boryanum var. boryanum,ALGA,5,58
NISP,NA,colony,33392,NA,Algae,colony,Pseudopediastrum boryanum var. boryanum sensu lato,ALGA,5,211
NISP,NA,colony,33393,NA,Algae,colony,Pseudopediastrum brevicorne,ALGA,3,6
NISP,NA,colony,33394,NA,Algae,colony,Pseudopediastrum integrum,ALGA,11,297
NISP,NA,colony,33395,NA,Algae,colony,Pseudopediastrum boryanum var. cornutum,ALGA,8,150
NISP,NA,colony,33398,NA,Algae,colony,Monactinus simplex,ALGA,4,29
NISP,NA,colony,33400,NA,Algae,colony,Stauridium tetras,ALGA,2,14
NISP,NA,colony,33421,NA,Algae,colony,Monactinus simplex var. echinulatum,ALGA,2,32
NISP,NA,colony,33423,NA,Algae,colony,Monactinus simplex var. simplex,ALGA,2,47
NISP,NA,conidiophore,41701,NA,Fungi,conidiophore,"Fungi (type 96B, HdV)",FUNG,1,30
NISP,NA,conidium,32487,NA,Fungi,conidium,"Trichocladium opacum (type 10, HdV)",FUNG,2,14
NISP,NA,conidium,34381,NA,Fungi,conidium,"Xylomyces chlamydosporis/X. aquaticus (type 201, HdV)",FUNG,3,17
NISP,NA,conidium,34635,NA,Fungi,conidium,"cf. Trichocladium opacum (type 10, HdV)",FUNG,1,49
NISP,NA,cyst,628,NA,Dinoflagellates,cyst,Dinoflagellata undiff.,DINO,1,9
NISP,NA,cyst,778,NA,Dinoflagellates,cyst,Dinoflagellata,DINO,3,34
NISP,NA,egg,33211,NA,Animals undiff.,egg,Macrobiotus,ANIM,1,2
NISP,NA,egg,33213,NA,Animals undiff.,egg,Macrobiotus cf. M. echinogenitus,ANIM,1,2
NISP,NA,egg,41789,NA,Arthropods undiff.,egg,"Acrotritia ardua (type 106, HdV)",ACAR,1,1
NISP,NA,filament/cell,34924,NA,Algae,filament/cell,"Mougeotia cf. M. gracillima (type 61, HdV)",ALGA,1,4
NISP,NA,fragment,1062,NA,Charcoal,fragment,Charcoal,CHAR,2,140
NISP,NA,fruit body,34565,NA,Fungi,fruit body,"Fungi (type 8A, HdV)",FUNG,2,32
NISP,NA,fruit body,39286,NA,Fungi,fruit body,"?Microthyrium (type 8, HdV)",FUNG,1,15
NISP,NA,fruit body/ascospore,34320,NA,Fungi,fruit body/ascospore,"Fungi (type 8E, HdV)",FUNG,1,4
NISP,NA,fruit body/ascospore,34565,NA,Fungi,fruit body/ascospore,"Fungi (type 8A, HdV)",FUNG,1,14
NISP,NA,fruit body/ascospore,34566,NA,Fungi,fruit body/ascospore,"Fungi (type 8D, HdV)",FUNG,1,21
NISP,NA,head capsule,41781,NA,Insects,head capsule,"Glyptotendipes pallens group (type 509, HdV)",DIPT,1,2
NISP,NA,hyphae,37335,NA,Fungi,hyphae,"Fungi (type 408, HdV)",FUNG,1,4
NISP,NA,hyphae,41791,NA,Fungi,hyphae,"Fungi (type 54B, HdV)",FUNG,1,5
NISP,NA,invertebrate undiff.,38585,NA,Animals undiff.,invertebrate undiff.,"Tardigrada (type 902, HdV)",ANIM,1,1
NISP,NA,invertebrate undiff.,41704,NA,Arthropods undiff.,invertebrate undiff.,"Oribatida (type 396, HdV)",ACAR,1,2
NISP,NA,labium,18678,NA,Insects,labium,Chironomidae,DIPT,2,4
NISP,NA,leaf spine,894,NA,Vascular plants,leaf spine,Ceratophyllum,AQVP,5,128
NISP,NA,lorica,1198,NA,Rotifers,lorica,Habrotrocha angusticollis,ROTI,11,200
NISP,NA,lorica,5242,NA,Rotifers,lorica,Habrotrocha,ROTI,1,8
NISP,NA,lorica,30744,NA,Rotifers,lorica,"Habrotrocha angusticollis (type 37, HdV)",ROTI,1,34
NISP,NA,lorica,31741,NA,Rotifers,lorica,Filinia longiseta,ROTI,1,22
NISP,NA,lorica,33836,NA,Rotifers,lorica,Rotifera undiff.,ROTI,1,6
NISP,NA,mandible/claw,5417,NA,Crustaceans undiff.,mandible/claw,Cladocera,CLAD,1,5
NISP,NA,non-pollen palynomorph,38627,NA,Testate amoebae,non-pollen palynomorph,"Archerella flavum (type 31A, HdV)",TEAM,1,26
NISP,NA,oocyte,27726,NA,Flatworms,oocyte,Gyratrix hermaphroditus,FLWO,6,66
NISP,NA,oocyte,27732,NA,Flatworms,oocyte,Microdalyellia armigera,FLWO,6,140
NISP,NA,ovum,33206,NA,Animals undiff.,ovum,Tardigrada,ANIM,2,13
NISP,NA,ovum,33837,NA,Animals undiff.,ovum,Rotifera/Tardigrada,ANIM,1,1
NISP,NA,palynomorph,1198,NA,Rotifers,palynomorph,Habrotrocha angusticollis,ROTI,3,51
NISP,NA,palynomorph,1202,NA,Bryophytes,palynomorph,"Bryophyta (type 354, HdV)",UPBR,2,4
NISP,NA,palynomorph,1488,NA,Algae,palynomorph,Spirogyra,ALGA,6,72
NISP,NA,palynomorph,1704,NA,Algae,palynomorph,Zygnemataceae,ALGA,2,21
NISP,NA,palynomorph,1761,NA,Algae,palynomorph,Zygnemataceae undiff.,ALGA,1,40
NISP,NA,palynomorph,2054,NA,Algae,palynomorph,Algae,ALGA,7,18
NISP,NA,palynomorph,3091,NA,Algae,palynomorph,Zygnema,ALGA,3,20
NISP,NA,palynomorph,5123,NA,Algae,palynomorph,Mougeotia,ALGA,12,188
NISP,NA,palynomorph,5124,NA,Algae,palynomorph,Mougeotia undiff.,ALGA,2,2
NISP,NA,palynomorph,5137,NA,Algae,palynomorph,Coelastrum reticulatum,ALGA,4,49
NISP,NA,palynomorph,5138,NA,Algae,palynomorph,Scenedesmus,ALGA,11,225
NISP,NA,palynomorph,5139,NA,Algae,palynomorph,Scenedesmus undiff.,ALGA,2,7
NISP,NA,palynomorph,5140,NA,Algae,palynomorph,Tetraëdron minimum,ALGA,9,138
NISP,NA,palynomorph,5142,NA,Algae,palynomorph,Tetraëdron,ALGA,7,137
NISP,NA,palynomorph,5144,NA,Algae,palynomorph,Trochiscia undiff.,ALGA,1,5
NISP,NA,palynomorph,5387,NA,Algae,palynomorph,Desmidiaceae,ALGA,3,48
NISP,NA,palynomorph,5390,NA,Algae,palynomorph,Spirogyra-type,ALGA,3,5
NISP,NA,palynomorph,5391,NA,Algae,palynomorph,Zygnema-type,ALGA,5,25
NISP,NA,palynomorph,5411,NA,Algae,palynomorph,cf. Penium,ALGA,1,2
NISP,NA,palynomorph,5418,NA,Flatworms,palynomorph,Rhabdocoela,FLWO,3,71
NISP,NA,palynomorph,5424,NA,Algae,palynomorph,Staurastrum undiff.,ALGA,1,1
NISP,NA,palynomorph,5551,NA,Algae,palynomorph,Mougeotia-type,ALGA,1,1
NISP,NA,palynomorph,5553,NA,Algae,palynomorph,Rivularia,ALGA,1,7
NISP,NA,palynomorph,27724,NA,Nematodes,palynomorph,Ascaris,NEMA,3,13
NISP,NA,palynomorph,29123,NA,Algae,palynomorph,Transeauina,ALGA,1,1
NISP,NA,palynomorph,29124,NA,Algae,palynomorph,Transeauina undiff.,ALGA,3,8
NISP,NA,palynomorph,30748,NA,Algae,palynomorph,"Algae? (type 225, HdV)",ALGA,1,1
NISP,NA,palynomorph,31202,NA,Nematodes,palynomorph,Ascaris lumbricoides,NEMA,1,2
NISP,NA,palynomorph,32028,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 41, HdV)",UNID,2,17
NISP,NA,palynomorph,32548,NA,Algae,palynomorph,Chlamydomonadaceae,ALGA,1,2
NISP,NA,palynomorph,32851,NA,Unidentified palynomorphs,palynomorph,Fungi-type,UNID,1,8
NISP,NA,palynomorph,33034,NA,Algae,palynomorph,Chrysophyceae,ALGA,1,1
NISP,NA,palynomorph,34077,NA,Animals undiff.,palynomorph,Tardigrada undiff.,ANIM,1,3
NISP,NA,palynomorph,34130,NA,Nematodes,palynomorph,Trichuris trichiura,NEMA,2,6
NISP,NA,palynomorph,34236,NA,Animals undiff.,palynomorph,Vermes,ANIM,1,1
NISP,NA,palynomorph,34410,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 224, HdV)",UNID,1,4
NISP,NA,palynomorph,34411,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 366, HdV)",UNID,1,6
NISP,NA,palynomorph,34563,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 33, HdV)",UNID,2,19
NISP,NA,palynomorph,34567,NA,Fungi,palynomorph,"Fungi (type 73, HdV)",FUNG,1,1
NISP,NA,palynomorph,34568,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 91, HdV)",UNID,2,9
NISP,NA,palynomorph,34569,NA,Flatworms,palynomorph,"Platyhelminthes (type 353B, HdV)",FLWO,1,33
NISP,NA,palynomorph,34606,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 38, HdV)",UNID,2,2
NISP,NA,palynomorph,34607,NA,Fungi,palynomorph,"Anthostomella cf. A. fuegiana (type 4, HdV)",FUNG,1,5
NISP,NA,palynomorph,34622,NA,Fungi,palynomorph,"cf. Persiciospora (type 124, HdV)",FUNG,1,1
NISP,NA,palynomorph,34629,NA,Fungi,palynomorph,"Fungi (type 64, HdV)",FUNG,1,52
NISP,NA,palynomorph,34630,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 74, HdV)",UNID,1,2
NISP,NA,palynomorph,34632,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 86, HdV)",UNID,2,2
NISP,NA,palynomorph,37350,NA,Algae,palynomorph,Sigmopollis,ALGA,1,2
NISP,NA,palynomorph,37368,NA,Unidentified palynomorphs,palynomorph,"Unknown (type 160, HdV)",UNID,1,5
NISP,NA,palynomorph,38547,NA,Flatworms,palynomorph,"Rhabdocoela (type 353, HdV)",FLWO,1,10
NISP,NA,peridinoid cyst,778,NA,Dinoflagellates,peridinoid cyst,Dinoflagellata,DINO,1,54
NISP,NA,pollen,1,NA,Vascular plants,pollen,Abies,TRSH,72,1822
NISP,NA,pollen,11,NA,Vascular plants,pollen,Aesculus,TRSH,2,3
NISP,NA,pollen,12,NA,Vascular plants,pollen,Allium,UPHE,3,46
NISP,NA,pollen,14,NA,Vascular plants,pollen,Alnus viridis-type,TRSH,1,5
NISP,NA,pollen,15,NA,Vascular plants,pollen,Alnus undiff.,TRSH,1,130
NISP,NA,pollen,16,NA,Vascular plants,pollen,Ambrosia-type,UPHE,5,26
NISP,NA,pollen,24,NA,Vascular plants,pollen,Armeria,UPHE,4,11
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,87,3419
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,83,3727
NISP,NA,pollen,31,NA,Vascular plants,pollen,Bidens-type,UPHE,3,3
NISP,NA,pollen,32,NA,Vascular plants,pollen,Boraginaceae,UPHE,12,37
NISP,NA,pollen,39,NA,Vascular plants,pollen,Callitriche,AQVP,2,11
NISP,NA,pollen,40,NA,Vascular plants,pollen,Caltha,AQVP,4,25
NISP,NA,pollen,44,NA,Vascular plants,pollen,Carya,TRSH,4,37
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,28,288
NISP,NA,pollen,47,NA,Vascular plants,pollen,Castanea,TRSH,4,18
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,68,2273
NISP,NA,pollen,69,NA,Vascular plants,pollen,Crataegus-type,TRSH,2,7
NISP,NA,pollen,70,NA,Vascular plants,pollen,Brassicaceae undiff.,UPHE,1,22
NISP,NA,pollen,72,NA,Vascular plants,pollen,Cupressaceae,TRSH,2,11
NISP,NA,pollen,73,NA,Vascular plants,pollen,Cuscuta,UPHE,8,64
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,84,3751
NISP,NA,pollen,81,NA,Vascular plants,pollen,Drosera,AQVP,15,20
NISP,NA,pollen,82,NA,Vascular plants,pollen,Dryas-type,UPHE,1,1
NISP,NA,pollen,86,NA,Vascular plants,pollen,Empetrum,TRSH,3,5
NISP,NA,pollen,90,NA,Vascular plants,pollen,Epilobium,UPHE,42,150
NISP,NA,pollen,92,NA,Vascular plants,pollen,Ericaceae,TRSH,21,202
NISP,NA,pollen,103,NA,Vascular plants,pollen,Euonymus,TRSH,12,28
NISP,NA,pollen,104,NA,Vascular plants,pollen,Euphorbia,UPHE,13,18
NISP,NA,pollen,106,NA,Vascular plants,pollen,Fagopyrum,UPHE,23,46
NISP,NA,pollen,107,NA,Vascular plants,pollen,Fagus,TRSH,75,2328
NISP,NA,pollen,116,NA,Vascular plants,pollen,Galium,UPHE,14,218
NISP,NA,pollen,119,NA,Vascular plants,pollen,Gentianaceae,UPHE,6,15
NISP,NA,pollen,120,NA,Vascular plants,pollen,Geranium,UPHE,32,79
NISP,NA,pollen,121,NA,Vascular plants,pollen,Geum-type,UPHE,10,31
NISP,NA,pollen,129,NA,Vascular plants,pollen,Hippuris vulgaris,AQVP,2,3
NISP,NA,pollen,132,NA,Vascular plants,pollen,Hypericum,UPHE,27,143
NISP,NA,pollen,135,NA,Vascular plants,pollen,Ilex,TRSH,2,15
NISP,NA,pollen,136,NA,Vascular plants,pollen,Impatiens,UPHE,10,17
NISP,NA,pollen,153,NA,Vascular plants,pollen,Larix,TRSH,30,99
NISP,NA,pollen,155,NA,Vascular plants,pollen,Rhododendron subsect. Ledum,TRSH,3,12
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,1,5
NISP,NA,pollen,159,NA,Vascular plants,pollen,Lemnoideae,AQVP,1,12
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,81,1869
NISP,NA,pollen,162,NA,Vascular plants,pollen,Liquidambar,TRSH,1,3
NISP,NA,pollen,164,NA,Vascular plants,pollen,Lonicera,TRSH,13,29
NISP,NA,pollen,176,NA,Vascular plants,pollen,Lycopus-type,UPHE,11,66
NISP,NA,pollen,180,NA,Vascular plants,pollen,Malvaceae,UPHE,6,14
NISP,NA,pollen,182,NA,Vascular plants,pollen,Menyanthes trifoliata,AQVP,33,264
NISP,NA,pollen,188,NA,Vascular plants,pollen,Myriophyllum,AQVP,2,2
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,15,110
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,14,135
NISP,NA,pollen,193,NA,Vascular plants,pollen,Nyssa,TRSH,2,15
NISP,NA,pollen,200,NA,Vascular plants,pollen,Parnassia,UPHE,4,11
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,74,2576
NISP,NA,pollen,212,NA,Vascular plants,pollen,Pinus subg. Pinus,TRSH,3,210
NISP,NA,pollen,219,NA,Vascular plants,pollen,Plantago major,UPHE,20,203
NISP,NA,pollen,220,NA,Vascular plants,pollen,Plantago lanceolata,UPHE,68,1352
NISP,NA,pollen,221,NA,Vascular plants,pollen,Plantago media,UPHE,17,330
NISP,NA,pollen,222,NA,Vascular plants,pollen,Platanus,TRSH,1,1
NISP,NA,pollen,225,NA,Vascular plants,pollen,Polygonaceae undiff.,UPHE,1,2
NISP,NA,pollen,230,NA,Vascular plants,pollen,Persicaria amphibia,UPHE,8,11
NISP,NA,pollen,231,NA,Vascular plants,pollen,Polygonum aviculare-type,UPHE,8,57
NISP,NA,pollen,242,NA,Vascular plants,pollen,Potentilla-type,UPHE,27,496
NISP,NA,pollen,244,NA,Vascular plants,pollen,Primulaceae,UPHE,2,3
NISP,NA,pollen,245,NA,Vascular plants,pollen,Prunus-type,TRSH,13,52
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,85,3128
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,4,129
NISP,NA,pollen,256,NA,Vascular plants,pollen,Rhamnaceae,TRSH,1,1
NISP,NA,pollen,259,NA,Vascular plants,pollen,Rhododendron,TRSH,1,1
NISP,NA,pollen,262,NA,Vascular plants,pollen,Ribes,TRSH,16,57
NISP,NA,pollen,267,NA,Vascular plants,pollen,Rubus,TRSH,12,37
NISP,NA,pollen,268,NA,Vascular plants,pollen,Rumex,UPHE,36,610
NISP,NA,pollen,270,NA,Vascular plants,pollen,Sagittaria,AQVP,4,5
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,86,2878
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,13,31
NISP,NA,pollen,282,NA,Vascular plants,pollen,Saxifragaceae,UPHE,13,42
NISP,NA,pollen,283,NA,Vascular plants,pollen,Scheuchzeria palustris,AQVP,6,30
NISP,NA,pollen,284,NA,Vascular plants,pollen,Scrophulariaceae,UPHE,14,40
NISP,NA,pollen,285,NA,Vascular plants,pollen,Sedum,UPHE,13,43
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,8,181
NISP,NA,pollen,297,NA,Vascular plants,pollen,Symplocos,TRSH,1,1
NISP,NA,pollen,299,NA,Vascular plants,pollen,Taxus,TRSH,1,2
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,75,1446
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,79,2445
NISP,NA,pollen,306,NA,Vascular plants,pollen,Tsuga,TRSH,4,21
NISP,NA,pollen,307,NA,Vascular plants,pollen,Asteroideae undiff.,UPHE,2,43
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,41,378
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,85,2862
NISP,NA,pollen,311,NA,Vascular plants,pollen,Apiaceae,UPHE,70,1767
NISP,NA,pollen,316,NA,Vascular plants,pollen,Utricularia,AQVP,17,65
NISP,NA,pollen,317,NA,Vascular plants,pollen,Vaccinium,TRSH,22,304
NISP,NA,pollen,318,NA,Vascular plants,pollen,Valeriana,UPHE,30,170
NISP,NA,pollen,319,NA,Vascular plants,pollen,Viburnum undiff.,TRSH,1,2
NISP,NA,pollen,320,NA,Vascular plants,pollen,Vitis,TRSH,9,13
NISP,NA,pollen,322,NA,Vascular plants,pollen,Xanthium,UPHE,3,10
NISP,NA,pollen,323,NA,Vascular plants,pollen,Zea mays,UPHE,5,7
NISP,NA,pollen,330,NA,Vascular plants,pollen,Alnus,TRSH,79,3219
NISP,NA,pollen,332,NA,Vascular plants,pollen,Viola,UPHE,13,27
NISP,NA,pollen,336,NA,Vascular plants,pollen,Lythrum,UPHE,19,87
NISP,NA,pollen,338,NA,Vascular plants,pollen,Acer,TRSH,78,1157
NISP,NA,pollen,341,NA,Vascular plants,pollen,Liliaceae,UPHE,25,85
NISP,NA,pollen,345,NA,Vascular plants,pollen,Ambrosia,UPHE,5,6
NISP,NA,pollen,346,NA,Vascular plants,pollen,Fabaceae,UPHE,51,350
NISP,NA,pollen,349,NA,Vascular plants,pollen,Bidens,UPHE,12,83
NISP,NA,pollen,350,NA,Vascular plants,pollen,Ranunculaceae,UPHE,57,1409
NISP,NA,pollen,351,NA,Vascular plants,pollen,Campanulaceae,UPHE,5,10
NISP,NA,pollen,353,NA,Vascular plants,pollen,Alnus viridis,TRSH,8,190
NISP,NA,pollen,355,NA,Vascular plants,pollen,Rosaceae undiff.,UPHE,3,45
NISP,NA,pollen,361,NA,Vascular plants,pollen,Cornus,TRSH,8,9
NISP,NA,pollen,363,NA,Vascular plants,pollen,Juniperus-type,TRSH,1,12
NISP,NA,pollen,366,NA,Vascular plants,pollen,Ephedra,TRSH,6,21
NISP,NA,pollen,369,NA,Vascular plants,pollen,Fraxinus,TRSH,68,1293
NISP,NA,pollen,372,NA,Vascular plants,pollen,Juglans,TRSH,57,194
NISP,NA,pollen,373,NA,Vascular plants,pollen,Larix/Pseudotsuga,TRSH,1,1
NISP,NA,pollen,379,NA,Vascular plants,pollen,Myrica-type,TRSH,1,6
NISP,NA,pollen,384,NA,Vascular plants,pollen,Ostrya-type,TRSH,1,1
NISP,NA,pollen,385,NA,Vascular plants,pollen,Pinus,TRSH,77,3518
NISP,NA,pollen,389,NA,Vascular plants,pollen,Populus,TRSH,44,473
